X,Y,SITEADDRESS,CITY,ZIPCODE,PERMITSTATUS,PERMITYEAR,PROJECTNAME,PROJECTDESCRIPTION,ISSUEDDATE,TOTALPAID,SUBAREA,NEIGHBORHOODAREA,SUBTYPE,ZONING,LOTSIZE
-122.14417181799999,47.577973038,14710 SE 36th St,Bellevue,98006,Issued,2021,Eastview Corporate Plaza,"Construction of a new parking lot to provide additional parking for the adjacent building, 20 120471 DB",2021/08/10 06:59:59+00,2121.5,Eastgate,Eastgate,Nonresidential,[O] Office,14998.0
-122.19204146,47.594709403000095,1745 114th Ave SE,Bellevue,98004693,Pending,2021,Mercer Pointe Parking Lot Repair,"The project proposes routine maintenance of the a parking lot at the Bellefield Office Park. Given the continuous settlement of the parking lot (1/2 to 1 inch per year), the pavement must be raised to its original condition. The parking lot area spans approximately 1.27 acres and will only consist of in-kind restoration. Construction will include removal of the existing asphalt pavement layer, the addition of lightweight fill to restore the grades, followed by typical pavement sections. The property is located in the Mercer Slough drainage basin and is surrounded by Type II wetlands. Construction activity will be limited to the parking lot area and there will be no encroachment into the wetlands. Existing stormwater drains into the wetlands and the Mercer Slough which is conveyed into Lake Washington. This path will be maintained., N/A",,1119.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,259625.0
-122.178239983,47.627521339000104,1975 124th Ave NE,Bellevue,980052113,Pending,2021,East Base Yard Lighting - Phase 2,"Replace/upgrade yard lighting: replace some poles, some lighting fixtures, add new poles w/fixtures, associated trenching and electrical work. Critical Area land use permit in process, building permit coming next. This is Phase 2 - all the work that could not be done before because it was in critical area/critical area buffer., 21 107830 LO",,1119.0,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,716631.0
-122.176470444,47.61975133600001,1121 124th Ave NE  - Lot 5,Bellevue,980052101,Pending,2021,COBT 124th Ave NE - Ichigo Way to Northup Way,"he City of Bellevue is developing plans and specifications for the widening of 124th Avenue NE between NE Ichigo Way to Northup Way to include a 5-lane roadway, illumination, traffic signals, curb/gutter, drainage infrastructure, landscaping, and sidewalks. The project also includes roadway pavement restoration and a multi-use pedestrian path between NE 16th Street and NE Ichigo Way to tie in with the recently constructed 124th Avenue NE corridor to the south. Other elements of design include improved commercial entrances, a fish passable culvert at the 124th Avenue NE/NE Ichigo Way intersection, and pedestrian access improvements along the corridor.",,1221.75,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,47178.0
-122.12845026299999,47.630392935,15805 NE 24th St,Bellevue,980082409,Pending,2021,COBU Commercial Water Meter Replacement 2022,"Project replaces four commercial water meters, including meter vaults, at three separate commercial properties.  Work includes excavation and backfill for installation of vaults and associated water piping, and restoration of disturbed surfaces (pavement, lawn, and landscaping) to match existing conditions.",,41.0,Crossroads,Northeast Bellevue,Nonresidential,[O] Office,538696.0
-122.142299761,47.599189970000104,14810 Lake Hills Blvd,Bellevue,98007,Pending,2021,COBT - Lake Hills Blvd & 148th Ave SE Improvements,"This project will construct an additional westbound to southbound turn-lane along Lake Hills Blvd at 148th Ave SE. The work includes but is not limited to: removing and replacing cement concrete curb, gutter, sidewalk, curb ramps, traffic island, and landscaping. The project also includes grind and overlay asphalt pavement, storm drainage improvements along Lake Hills Blvd, traffic signal system improvements at the intersection of Lake Hills Blvd & 148th Ave SE, and new street light poles along Lake Hills Blvd.",,41.0,Southeast Bellevue,Lake Hills,Nonresidential,[PO] Professional Office,12538.0
-122.17606798899999,47.618097978,12320 NE 8th St,Bellevue,980053186,Closed,2021,Affinity Group Sign,Installing a permanent exterior sign to identify the business,2021/05/18 06:59:59+00,566.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[O] Office,24794.0
-122.135142082,47.582592973000004,15375 SE 30th Pl  - Bldg 3,Bellevue,98007653,Closed,2021,Hidden Path Entertainment,Installation of (1) internally illuminated wall-mounted channel cloud sign,2021/03/05 08:00:00+00,525.0,Eastgate,Eastgate,Nonresidential,[O] Office,
-122.17956343700001,47.615911829,626 120th Ave NE,Bellevue,980053039,Closed,2021,Next Home Profilic,Replacing existing channel letter sign with Non-electric dimensional sign on the face of the unit and refacing the existing post sign.,2021/03/23 06:59:59+00,462.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[O] Office,55348.0
-122.19435475,47.637575629,3009 112th Ave NE,Bellevue,980042066,Issued,2021,AXIA Home Loans,Installing (1) wall sign on north storefront.,2021/07/21 06:59:59+00,566.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,
-122.186857068,47.610843431000006,11400 Main St,Bellevue,98004,Issued,2021,Extended Stay Bellevue,Reface existing signs,2021/07/20 06:59:59+00,566.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[OLB] Office and Limited Business,291357.0
-122.185031072,47.6271955710001,1900 116th Ave NE  - Unit 100,Bellevue,980043013,Issued,2021,NORTHWEST MEDICAL,REPLACED EXISTING MONUMENT SIGN WITH NEW D/F ILLUMINATED MONUMENT SIGN W/ FCO NON ILLUMINATED ADDRESS NUMBERS,2021/07/15 06:59:59+00,566.0,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,
-122.18557123299999,47.6194913960001,1028 116th Ave NE  - Bldg B,Bellevue,98004461,Issued,2021,Lazzoni,Electronic Sign board on two sides of the building,2021/08/05 06:59:59+00,525.0,Belred,Belred,Nonresidential,[BR-MO-1] Bel-Red-Medical Office Node,
-122.17367309,47.6272433830001,1800 124th Ave NE,Bellevue,980052112,Issued,2021,Public Storage reimage,"Replace (1) existing non-illuminated ""Public Storage"" MID cabinet, install (1) non-illuminated ""Rental Office"" directional wall sign and reface and retro to LED (1) existing double sided pylon sign.",2021/07/22 06:59:59+00,462.0,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,229383.0
-122.128351723,47.634562185,2701 NE Bellevue-Redmond Rd,Bellevue,980082253,Closed,2021,Eton School,New Sign at entry to school.  Sign is carved on a boulder that will be placed in an existing landscaped area.,2021/08/24 06:59:59+00,462.0,Crossroads,Northeast Bellevue,Nonresidential,[PO] Professional Office,61142.0
-122.185268425,47.629533688,2168 116th Ave NE  - Lot B,Bellevue,980043048,Pending,2021,Bellevue Senior Housing,"Installation of 6 signs including building mounted signs and monument signs., 18-108458 BB",,1299.0,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,125492.0
-122.19435475,47.637575629,3009 112th Ave NE,Bellevue,980042066,Pending,2021,MN Custom Homes,Installing (1) tenant wall sign.,,503.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,
-122.18557085,47.619560083000096,1038 116th Ave NE  - Bldg C,Bellevue,98004461,Issued,2021,BG HOME,"INSTALL(1) WALL MOUNTED SINGLE-FACED SIGN WITH HALO ILLUMINATED CHANNEL LETTERS READING ""BG HOME FURNITURE & ACCESSORIES""",2021/08/26 06:59:59+00,566.0,Belred,Belred,Nonresidential,[BR-MO-1] Bel-Red-Medical Office Node,
-122.185675283,47.6153778770001,625 116th Ave NE,Bellevue,980045207,Open,2021,DWN UNDER,INSTALL SINGLE FACE ILLUMINATED WALL SIGN,,462.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[OLB] Office and Limited Business,158406.0
-122.12259426600001,47.556033365000104,5130 164th Ave SE,Bellevue,980061954,Issued,2021,Summit Classical Christian School,"Change of occupancy from A-3 (Religious Institution, Church) to E (K-12 School) during weekdays only.  Church will remain in operation on evenings and weekends.  No change to existing building proposed except for furniture layout.",2021/08/12 06:59:59+00,7279.25,Newcastle,Cougar Mountain / Lakemont,Nonresidential,[O] Office,196563.0
-122.172740837,47.6198802970001,12501 NE Bellevue-Redmond Rd,Bellevue,980052508,Pending,2021,Iskcon Temple 2021 LA Permit,"New Conditional Use LA permit required due to change of use from previously approved permit submitted in 2014, 20-122691 BY",,5835.7,Belred,Belred,Nonresidential,[BR-ORT] Bel-Red-Office/Residential Transition,50003.0
-122.17505454100001,47.6201213860001,1209 124th Ave NE,Bellevue,980052101,Closed,2021,Spring District - Binding Site Plan Amendment 7,Seventh Amendment to The Spring District Binding Site Plan.,2021/05/06 06:59:59+00,1147.25,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,829376.0
-122.191682055,47.627950854000105,1975 112th Ave NE,Bellevue,980042942,Pending,2021,Bellewood One,Removal of Cottonwood trees - no removal of stumps.,,555.25,North Bellevue,Northwest Bellevue,Nonresidential,[O] Office,51632.0
-122.128840315,47.616479012000106,15831 NE 8th St,Bellevue,98008-3916,Issued,2021,Crossroads Tree Removal,Removal of 6 trees,2021/09/17 06:59:59+00,531.0,Crossroads,Lake Hills,Nonresidential,[O] Office,35148.0
-122.165852985,47.6213115360001,13037 NE Bellevue-Redmond Rd,Bellevue,980052622,Ready to Issue,2021,13037 Bel-Red Tree Removal,Remove 10 trees and overgrown arborvitae,,415.0,Belred,Belred,Nonresidential,[BR-ORT] Bel-Red-Office/Residential Transition,55755.0
-122.202009526,47.60886628,127 Bellevue Way SE,Bellevue,980046229,Issued,2021,Rgm Tree Removal,Removal of 2 cottonwood trees,2021/07/07 06:59:59+00,531.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,28001.0
-122.129432546,47.633884108000096,2663 NE Bellevue-Redmond Rd,Bellevue,980052142,Issued,2021,"Tree Removal, Sherwood Forest Office Park","Removal of 1 Flowering Cherry (Prunus sp.), 20.9"" DBH, 40' H",2021/09/02 06:59:59+00,531.0,Crossroads,Northeast Bellevue,Nonresidential,[PO] Professional Office,40212.0
-122.189187766,47.6360778660001,2800 Northup Way,Bellevue,98004144,Issued,2021,Northup West Tree Care 2021,"Removal of 2 dead/dying significant trees (15"" and 12.5"" DBH Western Hemlocks) - see arborist report for assessments, 1 non-significant tree (<6"" DBH Japanese Maple - large woody debris to be retained in greenbelt), 4 replants (Cascara, Rhamnus purshiana), and clearance pruning/risk mitigation pruning on 6 other trees (see site plan for specifics).",2021/09/01 06:59:59+00,531.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,219442.0
-122.18173977100001,47.6111496440001,11911 NE 1st St,Bellevue,980053032,Pending,2021,Removal of Dying trees,This permit request is for the removal of 6 dying trees that are becoming hazards on two adjacent parcels that currently have 3 story commercial buildings located on them.,,415.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[O] Office,114170.0
-122.18652520399999,47.6291305030001,11504 NE 21st St,Bellevue,980043025,Pending,2021,Life Zone Senior Medical,"The proposed 4 story mixed use senior living building with a basement of senior living units of total 14 units senior living units, medical building and pharmacy and two story senior living and roof garden and a club house., 19-125693-DB",,14939.0,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,9603.0
-122.17632385299999,47.6218996040001,1325 123rd Ave NE,Bellevue,98005,Pending,2021,Block 13 - Design Review,"Block 13 in The Spring District is a new, nine-story office building with four floors of below-grade structured parking centrally located in the District and bounded by the MDP-approved private 122nd Ave. N.E. to the west, N.E. 14th Terrace to the north, 123rd Ave. N.E. to the east, and an existing plaza to the south.",,14243.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,829376.0
-122.13114584899999,47.631935565,15650 NE 24th St,Bellevue,980072406,Pending,2021,Bel-Red Medical Building,Demolition of 2 existing single story office buildings and construction of a single 3 story office building with 1 level below grade parking,,22053.0,Crossroads,Northeast Bellevue,Nonresidential,[O] Office,27203.0
